35788,Trial
35496,Trial
35665.8,Trial
35489.2,Trial
34518.3,Trial
35339.9,Trial
36351.5,Trial
36120.7,Trial
35000.4,Trial
35523.2,Trial
35353.4,Trial
35496,Trial
35041.1,Trial
35679.3,Trial
36188.6,Trial
36093.5,Trial
35747.2,Trial
35272,Trial
35584.3,Trial
35367,Trial
35346.7,Trial
35102.2,Trial
36181.8,Trial
35665.8,Trial
34498,Trial
35489.2,Trial
35747.2,Trial
35143,Trial
36242.9,Trial
35475.7,Trial
35014,Trial
35726.9,Trial
35285.5,Trial
35543.6,Trial
35238,Trial
36249.7,Trial
35238,Trial
35984.9,Trial
34613.4,Trial
34918.9,Trial
35136.2,Trial
35631.8,Trial
34450.4,Trial
35665.8,Trial
35482.4,Trial
35462.1,Trial
35265.2,Trial
35570.7,Trial
35224.4,Trial
35156.5,Trial
35394.2,Trial
35190.5,Trial
35034.3,Trial
35754,Trial
35129.4,Trial
35475.7,Trial
36215.7,Trial
35672.6,Trial
34681.3,Trial
34918.9,Trial
36222.5,Trial
35231.2,Trial
34749.2,Trial
35523.2,Trial
35468.9,Trial
34803.5,Trial
35204.1,Trial
35679.3,Trial
35448.5,Trial
35333.1,Trial
35781.2,Trial
35543.6,Trial
35394.2,Trial
34722,Trial
35095.4,Trial
35163.3,Trial
36236.1,Trial
35584.3,Trial
35075.1,Trial
35645.4,Trial
35455.3,Trial
35462.1,Trial
35244.8,Trial
35339.9,Trial
35462.1,Trial
35584.3,Trial
35210.9,Trial
35319.5,Trial
35550.3,Trial
35312.7,Trial
34681.3,Trial
34124.5,Trial
34789.9,Trial
36066.3,Trial
34654.1,Trial
34966.4,Trial
35421.3,Trial
34749.2,Trial
34830.6,Trial
35903.4,Trial
35767.6,Trial
35679.3,Trial
36161.4,Trial
35686.1,Trial
35726.9,Trial
35346.7,Trial
35889.8,Trial
34973.2,Trial
36052.8,Trial
35414.5,Trial
36134.2,Trial
35957.7,Trial
35944.1,Trial
34851,Trial
35204.1,Trial
35584.3,Trial
36412.6,Trial
35937.3,Trial
36032.4,Trial
35740.4,Trial
35625,Trial
35740.4,Trial
35631.8,Trial
35903.4,Trial
34939.3,Trial
35468.9,Trial
35801.6,Trial
35699.7,Trial
35794.8,Trial
35326.3,Trial
35883,Trial
35964.5,Trial
35699.7,Trial
35625,Trial
34817.1,Trial
35244.8,Trial
35380.6,Trial
35210.9,Trial
